"Product Code","Description","Quantity","Net Unit Price","Unit Cost","Group: Group Name"
"Misc","Misc","1.00","231.75","139.05","3RD FL ACCESS CONTROL (BACK BD)"
"Misc. Hardware","Installation Hardware","1.00","333.34","200.00","3RD FL ACCESS CONTROL (BACK BD)"
"Installation - Project Management","Labor for Installation Project Management","3.00","175.00","87.50","3RD FL ACCESS CONTROL (BACK BD)"
"Installation - Prewire","Labor for Installation Prewire","20.00","135.00","67.50","3RD FL ACCESS CONTROL (BACK BD)"
"Installation - Trim Out Devices","Labor for Installation Trim Out Of Devices","19.00","135.00","67.50","3RD FL ACCESS CONTROL (BACK BD)"
"Installation - Program/Testing/Commission","Labor for Installation Program/Testing/Commission System(s)","8.00","135.00","67.50","3RD FL ACCESS CONTROL (BACK BD)"
"Freight","Shipping and Handling","1.00","194.01","106.70","3RD FL ACCESS CONTROL (BACK BD)"
"VERK - AC42-HW","Verkada AC42 4 Door Controller","1.00","1799.04","1079.40","3RD FL ACCESS CONTROL (BACK BD)"
"VERK - AD34-HW","Verkada AD34 Multi-format Card Reader","3.00","349.01","209.40","3RD FL ACCESS CONTROL (BACK BD)"
"Access Control Cable Ylw Jkt","4 Elem Comp Cable CMP Ylw Jkt (500')","2.00","750.02","450.00","3RD FL ACCESS CONTROL (BACK BD)"
"Installation - Program/Testing/Commission","Labor for Installation Installation - Tie In at Elevator Control RM","8.00","135.00","67.50","3RD FL ACCESS CONTROL (BACK BD)"
"TAN - SD - 70WH","3/4 inch Steel Door Recess Contact White","2.00","4.17","2.50","3RD FL ACCESS CONTROL (BACK BD)"
"BO - DS150I","Request-To-Exit PIR Motion Detector","2.00","99.00","59.40","3RD FL ACCESS CONTROL (BACK BD)"
"VERK - ACC-BAT-4AH","4AH Backup Battery","1.00","129.00","77.40","3RD FL ACCESS CONTROL (BACK BD)"
"TRI - 4800F-32D","Surface Mount Rim Exit Strike, Fire Rated 3/4 inch, Fail Secure, Satin Stainless Steel","2.00","456.68","274.00","3RD FL ACCESS CONTROL (BACK BD)"
"Access Control Plans, Permit & Submittals","Access Control Plans, Permits, Drawings, As-builts","1.00","1333.36","800.00","3RD FL ACCESS CONTROL (BACK BD)"
"VERK - LIC-AC-3Y-CAP","Verkada 3-Year Door License","3.00","599.01","359.40","3RD FL ACCESS CONTROL (BACK BD)"
"Installation - Cad Design Engineering","Cad Design Engineer","8.00","175.00","87.50","ACCESS CONTROL (BACK BD)"
"Installation - Prewire","Labor for Installation Prewire","10.00","135.00","67.50","ACCESS CONTROL (BACK BD)"
"Installation - Trim Out Devices","Labor for Installation Trim Out Of Devices","38.00","135.00","67.50","ACCESS CONTROL (BACK BD)"
"Installation - Program/Testing/Commission","Labor for Installation Program/Testing/Commission System(s)","8.00","135.00","67.50","ACCESS CONTROL (BACK BD)"
"Freight","Shipping and Handling","1.00","214.25","117.84","ACCESS CONTROL (BACK BD)"
"Misc","Misc","1.00","268.27","160.96","ACCESS CONTROL (BACK BD)"
"Misc. Hardware","Installation Hardware","1.00","333.34","200.00","ACCESS CONTROL (BACK BD)"
"Installation - Project Management","Labor for Installation Project Management","3.00","175.00","87.50","ACCESS CONTROL (BACK BD)"
"VERK - AD34-HW","Verkada AD34 Multi-format Card Reader","4.00","349.01","209.40","ACCESS CONTROL (BACK BD)"
"Access Control Cable Ylw Jkt","4 Elem Comp Cable CMP Ylw Jkt (500')","1.00","750.02","450.00","ACCESS CONTROL (BACK BD)"
"ALC - TS14R","Pneumatic Time Delay Exit Button Stainless Steel Plate, Red Mushroom Button","1.00","339.59","203.75","ACCESS CONTROL (BACK BD)"
"Access Control Plans, Permit & Submittals","Access Control Plans, Permits, Drawings, As-builts","1.00","1333.36","800.00","ACCESS CONTROL (BACK BD)"
"Access Sign #1 City Of Houston","Push To Open Door Sign","1.00","33.33","20.00","ACCESS CONTROL (BACK BD)"
"Access Sign #2 Glass Door","This Door To Remain Unlocked When The Building Is Occupied Sticker","1.00","41.67","25.00","ACCESS CONTROL (BACK BD)"
"VERK - ACC-BAT-4AH","4AH Backup Battery","1.00","129.00","77.40","ACCESS CONTROL (BACK BD)"
"BO - DS150I","Request-To-Exit PIR Motion Detector","3.00","99.00","59.40","ACCESS CONTROL (BACK BD)"
"TRI - 4850-32D","Surface Mount Rim Exit Strike, 1/2"", Fail Secure & Fail Safe, Satin Stainless Steel","3.00","456.68","274.00","ACCESS CONTROL (BACK BD)"
"VERK - LIC-AC-3Y-CAP","Verkada 3-Year Door License","4.00","599.01","359.40","ACCESS CONTROL (BACK BD)"
"VERK - AC42-HW","Verkada AC42 4 Door Controller","1.00","1799.04","1079.40","ACCESS CONTROL (BACK BD)"
"ALC - AM6361","1/2 inch Filler Bar For 600S/1200S","2.00","28.75","17.25","ACCESS CONTROL (BACK BD)"
"VERK - AD34-HW","Verkada AD34 Multi-format Card Reader","2.00","349.01","209.40","ACCESS CONTROL (FRONT BD)"
"ALC - 600L","Single Maglock 600 LBS","2.00","212.57","127.54","ACCESS CONTROL (FRONT BD)"
"TAN - 4532D-36","GRI (Armored) Commercial Type Surface Contact DPDT","1.00","49.83","29.90","ACCESS CONTROL (FRONT BD)"
"TAN - SD - 74CWH","3/4'' Steel Door Recess Contact DPDT White","2.00","18.75","11.25","ACCESS CONTROL (FRONT BD)"
"Access Control Cable Ylw Jkt","4 Elem Comp Cable CMP Ylw Jkt (500')","1.00","750.02","450.00","ACCESS CONTROL (FRONT BD)"
"VERK - ACC-PROX-1","Verkada Proximity Access Control Cards, 100 Pack","1.00","599.01","359.40","ACCESS CONTROL (FRONT BD)"
"Misc","Misc","1.00","260.49","156.29","ACCESS CONTROL (FRONT BD)"
"Misc. Hardware","Installation Hardware","1.00","315.01","189.00","ACCESS CONTROL (FRONT BD)"
"Installation - Project Management","Labor for Installation Project Management","3.00","175.00","87.50","ACCESS CONTROL (FRONT BD)"
"Installation - Cad Design Engineering","Cad Design Engineer","6.00","175.00","87.50","ACCESS CONTROL (FRONT BD)"
"Installation - Prewire","Labor for Installation Prewire","10.00","135.00","67.50","ACCESS CONTROL (FRONT BD)"
"Installation - Trim Out Devices","Labor for Installation Trim Out Of Devices","25.00","135.00","67.50","ACCESS CONTROL (FRONT BD)"
"Installation - Program/Testing/Commission","Labor for Installation Program/Testing/Commission System(s)","8.00","135.00","67.50","ACCESS CONTROL (FRONT BD)"
"Freight","Shipping and Handling","1.00","244.95","134.72","ACCESS CONTROL (FRONT BD)"
"VERK - LIC-AC-3Y-CAP","Verkada 3-Year Door License","2.00","599.01","359.40","ACCESS CONTROL (FRONT BD)"
"ALC - AM6361","1/2'' Filler Bar For 600S/1200S","2.00","28.75","17.25","ACCESS CONTROL (FRONT BD)"
"ALC - TS18","Under-Counter/Desk Door Release","1.00","44.58","26.75","ACCESS CONTROL (FRONT BD)"
"BO - DS150I","Request-To-Exit PIR Motion Detector","1.00","99.00","59.40","ACCESS CONTROL (FRONT BD)"
"ALC - TS14R","Pneumatic Time Delay Exit Button Stainless Steel Plate, Red Mushroom Button","1.00","339.59","203.75","ACCESS CONTROL (FRONT BD)"
"VERK - ACC-BAT-4AH","4AH Backup Battery","1.00","129.00","77.40","ACCESS CONTROL (FRONT BD)"
"Access Control Plans, Permit & Submittals","Access Control Plans, Permits, Drawings, As-builts","1.00","1333.36","800.00","ACCESS CONTROL (FRONT BD)"
"Access Sign #1 City Of Houston","Push To Open Door Sign","1.00","33.33","20.00","ACCESS CONTROL (FRONT BD)"
"Access Sign #2 Glass Door","This Door To Remain Unlocked When The Building Is Occupied Sticker","1.00","41.67","25.00","ACCESS CONTROL (FRONT BD)"
"VERK - AC42-HW","Verkada AC42 4 Door Controller","1.00","1799.04","1079.40","ACCESS CONTROL (FRONT BD)"
"TRI - 4100-32D","Fail-Secure Door Electric Strike, 24 VAC/DC, 1-5/8 inch Width x 3-3/8 inch Height, 3250 Lb Static Load, Satin Stainless Steel, With Faceplate","1.00","470.01","282.00","ACCESS CONTROL (FRONT BD)"
"Item","LIC-MNFC-20-3Y - Add up to 20 users with a mobile NFC credential for 3 years","2.00","641.80","449.25","ACCESS CONTROL (FRONT BD)"
"BO - DS150I","Request-To-Exit PIR Motion Detector","1.00","99.00","59.40","ACCESS CONTROL (FRONT BD)"
"Misc","Misc","1.00","301.86","181.11","INTRUSION (BACK BD)"
